Burger &amp; Lobster Farringdon,507f1e67e4b08ec3d1a7e989,Open,12-Oct,"38 St John Street, EC1",B&amp;L goes East,It's the second venue that B&amp;L bought from Bistro Du Vin serving the same lobster. lobster roll or burger and chips that's doing so well elsewhere.,/Gastroblog/Latest-news/burger-and-lobster-to-open-in-soho-and-farringdon-and-take-bookings,51.52094195,-0.101584344
Del Mercato,5082b61be4b0a0ddb2f2e12b,Open,12-Oct,"Vinopolis, Borough",Vinopolis branches out,"Claudio Pulze, a mainstay of the London restaurant industry (Ramsay, Wareing, Atherton and Locatelli have all worked with him) has opened a new restaurant attached to Borough's Vinopolis. It's divided into three sections - Bar Del Mercato a bar (that also serves bar snacks), a pizzeria called Osteria Del Mercato and a more traditional restaurant called Restaurante Del Mercato. Pulze is aiming to serve ""high-quality, traditional Italian food.""",,51.505504,-0.091814
Garufin,504e72617ab441c6c85087b0,Open,12-Oct,"Lambs Conduit Passage, Holborn",Argentinian in Holborn,"Argentinian grill Garufa is hugely popular in Highbury, and this sees them expanding to Holborn. Opening on Lambs Conduit Passage, this is an ""Argentine kitchen"" specialising in regional Argentine food and wine. Lunch only until October 22.",/Gastroblog/Latest-news/argentine-tapas-bar-garufin-to-open-on-lambs-conduit-passage,51.51994605,-0.11780262
Beard to Tail,506bf241498e3642a595bd75,Open,12-Oct,The City,Meaty pop-up turns permanent,"The team behind the Shoreditch cocktail institution, Callooh Callay, previewed this restaurant with a pop-up which gave us an idea of what the real thing will deliver. Expect a big focus on meat (tartare, pulled beef, pigs trotters, pork loin) and plenty of strong cocktails and waistline busting alcoholic desserts.",/Gastroblog/Latest-news/beard-to-tail-restaurant-to-launch-in-shoreditch-we-take-in-a-preview,51.52486504,-0.080284009
Colbert,506ac702e4b0dcfc950fce65,Open,12-Oct,"50-51 Sloane Square, SW1",The Oriel reborn,"After the previous restaurant, the Oriel, was closed down by the owner Earl Cadogan for not being good enough, Corbin and King have snatched up the space. The new 6000 square restaurant is ""a true all-day ‘grand cafe’, providing eating and grazing from breakfast through to later evening"".",/Gastroblog/Latest-news/anima-chef-pizza-express-francesco-mazzei-cadogan-oriel-closing-news-update,51.49261551,-0.157038707
Bonnie Gull Seafood Shack,5069e4a9e4b04cedfd9b4f65,Open,12-Oct,"Foley Street, Fitzrovia, W1",Pop-up restaurant goes permanent,"They've already run a number of pop-up projects around London, now the people behind Bonnie Gull (Seafood Shack, Bonnie &amp; Wild and Bonnie-on-sky) have opened their first permanent restaurant. As per their previous projects, the Seafood Shack will be featuring only responsibly sourced and 100% British produce.",/Gastroblog/Latest-news/bonnie-gull-seafood-shack-to-launch-in-fitzrovia,51.519306,-0.140209
Dishoom Shoreditch,,Open,12-Oct,"7 Boundary Street, E2 7JE",Indian Cafe expands,Dishoom has been a big hit in Covent Garden and has now moved east. The new venue will have bar and dining area and will add an outside courtyard too (soft launch with 50% until October 19).,/Gastroblog/Latest-news/dishoom-shoreditch-to-open-on-boundary-street,,
House of Wolf,506d2e818aca4b781d062b6a,Open,12-Oct,"181 Upper Street, N1",Experimental dining on Upper Street,"House of Wolf has taken over an old listed building and a former music hall and the new owners are going to be making much of the building's heritage. The ground floor Music Hall bar sees vaudeville cabaret and literary salons as part of its entertainment roster. Upstairs the Apothecary bar has gas lamp lighting and will serve up cocktails combining trad Victorian recipes with modern cutting-edge techniques. A further floor up will be the dining areas - the Parlour with a dumb-waiter cum steam-punk conveyor belt, an Attic dining room and a Wolf Den bar.",/Gastroblog/Latest-news/house-of-wolf-experimental-dining-on-upper-street,51.54093035,-0.10258913
Chooks,506d9de9e4b0d8505f1797e7,Open,12-Oct,"43 The Broadway, Muswell Hill, N10",Chicken &amp; ribs,"This is the latest restaurant to join the current chicken craze and is from Gideon Joffe, the son of the Giraffe founders. This is open seven days a week, selling grilled and buttermilk chicken and - to mix things up - host a special rib night on Fridays.",/Gastroblog/Latest-news/chooks-chicken-restaurant-set-to-open-in-muswell-hill,51.58983714,-0.144764013
Outlaw's Seafood and Grill at the Capital,,Open,12-Oct,"Capital Hotel, Knightsbridge",Two starred Michelin chef from Cornwall comes to London,"Two Michelin starred Nathan Outlaw has opened this restaurant in the revamped Capital dining room which will seat 50 people. Expect dishes like Cornish crab on toast and roast brill on the bone, all created by head chef Peter Biggs who has worked with Outlaw for ten years.",/Gastroblog/Latest-news/nathan-outlaw-brings-outlaws-seafood-a-grill-to-the-capital-in-knightsbridge,,
Burger Breakout,5069ead9e4b0846a5bf9079f,Open,12-Oct,"33 New Oxford Street, W1",Gastropub burgers done right,"Burger Breakout was a success at its one-day pop-up event at St Chad's Place earlier this Summer. Now the man behind it, Dave Aherne (aka Cork Gourmet Guy) has joined up with the Old Crown pub on New Oxford Street to completely revamp their menu. There are Burger Breakout burgers on the menu along with a selection of ribs, chicken wings, tacos and more.",http://gourmetguy.wordpress.com/,51.517168,-0.124949
Kitchen Table,,Open,12-Oct,"Fitzrovia, 70 Charlotte St, London W1",Bubbledogs' upmarket sibling,"It was, to many, the main event of the two part restaurant from James Knappett and Sandia Chang. Here you can expect a new meal almost every visit as the menu evolves depending on the chef's preferences and the seasons. And all this in a setting that sees you seated around the open kitchen watching and interacting with the chefs.",/Features/Interviews/interview-with-james-knappett-about-bubbledogs-and-kitchen-table,,
